© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Miyoung->11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Workspace	My Projects
Project	Miyoung
Analysis	11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Date	Wed Nov 22 07:55:53 PST 2017
Analysis ID	15713973

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Miyoung->11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	diclofenac	chemical drug	 	 	 	 	 	5.70E-04	FOS,GDF15,IL1A,IL24,IL6,VEGFA	Ap1,CHUK,CSF1,CSF2,EGR1,IRF8,JUN,NFATC1,NFKB1,NFKBIA,NFkB (complex),NOTCH1,NR3C1,RELA,SP1,STAT1,TNF,diclofenac	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	green tea polyphenol	chemical drug	 	 	 	 	 	5.70E-04	FOS,IL1B,IL6,MMP9,PPARG,VEGFA	ATF2,Akt,Ap1,CREB1,Creb,ESR1,FOXO1,JUN,LDL,MAPK9,NFKB1,NFKBIA,NFkB (complex),NOTCH1,Pkc(s),RELA,STAT3,TP53,green tea polyphenol	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	benzyloxycarbonyl-Leu-Leu-Leu aldehyde	chemical - protease inhibitor	 	 	 	 	 	5.97E-04	AKR1C1/AKR1C2,CEBPB,CXCL2,CXCL8,DUSP1,EPAS1,FAS,FOS,G0S2,IL1B,IL6,MMP1,MMP9,PMAIP1,PPARG,PRDM1,RGS4,RUNX2,SLC1A1,VCAM1,VEGFA	Akt,Ap1,ERK,FOSL1,FOXO1,JUN,NFKB1,NFKBIA,NFkB (complex),NOTCH1,NR3C1,P38 MAPK,RELA,SMAD3,SP1,STAT3,benzyloxycarbonyl-Leu-Leu-Leu aldehyde	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	desipramine	chemical drug	 	 	 	 	 	6.09E-04	ASAH1,FOS,IL1B,IL6,PDE4B	Ap1,CREB1,CREBBP,Creb,EGR1,JUN,Jnk,MAPK8,NFKBIA,NFkB (complex),NR3C1,RELA,SIRT1,desipramine,norepinephrine,rolipram	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	epicatechin gallate	chemical drug	 	 	 	 	 	6.09E-04	CXCL8,GDF15,IL6,VCAM1,VEGFA	AMPK,Ap1,CTNNB1,EGR1,ESR1,FOXO1,FOXO3,JUN,NFKB1,NFKBIA,NFKBIB,NFkB (complex),NR3C1,PRKCD,RELA,SP1,epicatechin gallate	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	Immunoglobulin	complex	 	 	 	 	 	6.13E-04	CHN2,CTH,CXCL2,CXCL8,DUSP1,EGR1,F3,FAS,FOS,IL1A,IL1B,IL6,MEF2C,MMP9,RGS2,RNF128,SOST,VCAM1	Ap1,CCL2,EGR1,IL10,Immunoglobulin,JUN,Jnk,NFATC1,NFKB1,NFKBIA,NFkB (complex),NR3C1,P38 MAPK,RELA,SMAD3,STAT3	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	4-hydroxytamoxifen	chemical drug	 	 	 	 	 	6.19E-04	AREG,CCNA1,CEBPB,FOS,HSD17B7,IL6,KLRC4,NOV,PDK4,PDLIM3,PMAIP1,SNAI2,THRB	4-hydroxytamoxifen,Akt,CTNNB1,EP300,ESR1,ESR2,FOS,FOXO1,HDAC1,HDAC2,JUN,NFKB1,NFKBIA,NFkB (complex),NOTCH1,RELA,SMAD3,SNAI1,SP1,TP53	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	NFE2L2	transcription regulator	 	 	 	 	 	6.32E-04	AKR1B10,ARHGEF3,ATP6V0D2,CXCL2,CXCL8,EPAS1,GBE1,GCLC,HSD3B1,IDH1,IL1A,IL1B,IL6,KCNMB4,MEF2C,MGST1,MMP9,MSMO1,PKIA,PPARG,SLC1A1,SNAI2,TUB,VCAM1,VEGFA,VSNL1	Ap1,EP300,HMGB1,HMOX1,IL4,JUN,KEAP1,NFE2L2,NFKB1,NFKBIA,NFkB (complex),P38 MAPK,RELA,SP1,STAT1,STAT6	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	PD173074	chemical reagent	 	 	 	 	 	6.37E-04	CEBPB,DUSP6,F3,HSD3B1,LCP1,NUPR1,PPARG,PSG4,SLC40A1	Akt,FOXO1,NFKB1,NFkB (complex),NOTCH1,PD173074,RELA	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	cerivastatin	chemical drug	 	 	 	 	 	6.37E-04	BMP2,CXCL8,F3,IL6,MMP9,PCSK9,PPARG,VCAM1,VEGFA	Akt,Ap1,ESR1,FOXO1,JUN,LDL,NFKB1,NFKBIA,NFkB (complex),NOTCH1,NR3C1,P38 MAPK,RELA,cerivastatin	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate	chemical - kinase inhibitor	 	 	 	 	 	6.68E-04	AREG,CEBPB,CPT1B,DUSP1,HSD17B2,HSD3B1,LPIN1	8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate,ATF2,Ap1,CREB1,CREBBP,CREM,Creb,EGFR,ERK1/2,ESR1,FOSL1,JUN,NFKB1,NFkB (complex),Pka,RELA,SMAD3	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	FOSB	transcription regulator	 	 	 	 	 	6.70E-04	CEBPB,FOS,MMP1,MMP9,PPARG,RUNX2	Ap1,CEBPA,CEBPB,CREB1,ESR1,FOSB,FOSL2,HIF1A,JUN,JUNB,JUND,NFkB (complex),PPARG,TP53	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	ITGAV	transmembrane receptor	 	 	 	 	 	6.70E-04	FOS,ITGB3,MMP1,MMP9,RUNX2,SOST	ACTN4,Ap1,CBL,CDKN2A,CTNNB1,FN1,ITGAV,ITGB3,JUN,MAP2K1,NFE2L2,NFKBIA,NFkB (complex),RELA,SMAD3,SMAD4,SPP1,TP53,VTN	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	NLRP12	other	 	 	 	 	 	6.70E-04	CASP1,CXCL2,CXCL8,IL1B,IL6,LY96	ATP,Ap1,IL1,IRAK1,IRF3,IRF6,JUN,MAP3K14,NFKB1,NFKBIA,NFkB (complex),NLRP12,NR3C1,NfkB1-RelA,RELA,STAT3,TNF	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	tempol	chemical drug	 	 	 	 	 	6.70E-04	CXCL2,CXCL8,F3,MMP9,NR3C2,VCAM1	ACTN4,Ap1,CCL2,CXCL8,JUN,NFATC1,NFKB1,NFKBIA,NFkB (complex),NR3C1,P38 MAPK,RELA,SMAD3,STAT3,tempol	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	thalidomide	chemical drug	 	 	 	 	 	6.70E-04	ANGPT1,CXCL8,GDF15,IL1B,IL6,VEGFA	Akt,Ap1,FOXO1,IL1B,JUN,NFKB1,NFKBIA,NFkB (complex),NOTCH1,NR3C1,P38 MAPK,RELA,SP1,TP53,nitric oxide,thalidomide	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	IRF1	transcription regulator	 	 	 	 	 	6.75E-04	B2M,C1R,CASP1,CCL20,CXCL2,CXCL8,IFIH1,IL15,IL1B,IL6,MMP9,TNFSF13B,TRIM22,VCAM1	CBL,CREB1,HDAC1,HDAC3,HIF1A,IFNG,IRF1,IRF8,JUN,NFKB1,NFKBIA,NFkB (complex),RELA,SP1,STAT1,STAT3,STAT6,TP53	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	Gsk3	group	 	 	 	 	 	7.01E-04	CXCL8,FOS,GDF15,IL1B,IL6,KDR,NR4A1,NR4A2,PPARG	Ap1,CREB1,CTNNB1,EGR1,GSK3B,Gsk3,HIF1A,JUN,Jnk,NFKB1,NFKBIA,NFKBIB,NFkB (complex),NR3C1,PRKCD,RELA,SNAI1,TP53	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	gentamicin	chemical drug	 	 	 	 	 	7.07E-04	ACSM3,CEBPB,CPQ,CTSV,DPP4,EGF,EGR1,ENPP2,GADD45A,GDF15,IDH1,IL1B,KYNU,L3HYPDH,SLC1A1,TSC22D1,VCAM1,ZFP36L1	Ap1,JUN,MAPK8,NFKBIA,NFkB (complex),RELA,gentamicin	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	IL27	cytokine	 	 	 	 	 	7.14E-04	B2M,CCL20,CXCL8,EGR1,FOS,IL1A,IL1B,IL6,PRDM1,RORC,TNFSF13B,VCAM1	Ap1,ERK1/2,FOSL1,HDAC1,IFNG,IL10,IL1B,IL27,IRF1,IRF8,NFKB1,NFKBIA,NFkB (complex),NR3C1,RELA,STAT1,STAT3,STAT6	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	VHL	transcription regulator	 	 	 	 	 	7.14E-04	BHLHE40,CA12,EPAS1,F3,FILIP1L,GBE1,NREP,PMAIP1,PSG1,SLC1A3,SLC40A1,VEGFA	CTNNB1,EPAS1,HIF1A,JUN,NFKB1,NFkB (complex),PPARG,VHL	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	PRKAG3	other	 	 	 	 	 	7.16E-04	ACKR3,ANKRD1,DDIT4L,EGR1,GBE1,GJA1,IL15,MID1IP1,PAM,RNF128,RORC,SLC2A3,SLC40A1,SLC4A3	 	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	DGAT1	enzyme	 	 	 	 	 	7.27E-04	CPT1B,PDK4,PPARG,VLDLR	CEBPB,CREB1,DGAT1,ESR1,FOXO1,Insulin,MTOR,PPARA,PPARG,RELA,SIRT1,SMAD3,STAT3	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	GAB1	kinase	 	 	 	 	 	7.27E-04	ANGPT1,EGR1,IL1B,IL6	Ap1,EGR1,FOS,FOSL1,FOXO1,GAB1,IRF3,JUN,Jnk,MAPK8,Mapk,NFATC1,NFKB1,NFKBIA,NFkB (complex),P38 MAPK,PPARG,RELA,SIRT1	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	LY96	transmembrane receptor	 	 	 	 	 	7.27E-04	CXCL2,CXCL8,IL6,MMP1	Ap1,CCL2,IRF3,JUN,LY96,NFATC1,NFKB1,NFKBIA,NFkB (complex),P38 MAPK,RELA,SMAD3,SP1,STAT1,STAT3,TIRAP,TLR4	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	MVP	other	 	 	 	 	 	7.27E-04	CXCL2,CXCL8,IL1B,IL6	Ap1,CEBPA,CEBPB,CREB1,ERK1/2,ESR1,FOSL1,FOXO1,IFNG,IRF1,JUN,MVP,NFKB1,NFkB (complex),PPARG,PTEN,RELA,STAT1,STAT3,TP53	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	PIAS4	transcription regulator	 	 	 	 	 	7.27E-04	CXCL2,IL1B,ITGB8,PDK4	Ap1,FOXO1,IKBKG,JUN,NFKB1,NFKBIA,NFkB (complex),PIAS4,RARB,RELA,SIRT1,SP1,SREBF1	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	PLA2G4A	enzyme	 	 	 	 	 	7.27E-04	CXCL8,IL1B,IL6,SCP2	ATF2,Ap1,CEBPB,Creb,EGFR,ESR1,FOXO1,JUN,NFKB1,NFKBIA,NFkB (complex),PLA2G4A,PPARA,RELA,SMAD3,STAT3,SYK,TP53,ceramide,leukotriene B4,palmitic acid	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	PLCE1	enzyme	 	 	 	 	 	7.27E-04	CCL20,CXCL2,CXCL8,IL6	ATF2,Ap1,Creb,ERK1/2,FOS,FOSL1,FOXO1,IL6,JUN,MAPK3,Mapk,NFKB1,NFKBIA,NFkB (complex),NR3C1,PLCE1,RELA,STAT3	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	VCP	enzyme	 	 	 	 	 	7.27E-04	CXCL8,DUSP1,TNFSF13B,VCAM1	JUN,NFKB1,NFKBIA,NFkB (complex),NR3C1,P38 MAPK,RELA,TNF,VCP	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	gallic acid	chemical - endogenous non-mammalian	 	 	 	 	 	7.27E-04	CXCL8,IL6,MMP9,VCAM1	ATF2,Akt,Ap1,CAT,CCL2,CREB1,Creb,FOXO1,IKK (complex),JUN,NFATC1,NFKB1,NFKBIA,NFKBIB,NFkB (complex),NOTCH1,Pkc(s),RELA,SMAD3,STAT1,STAT3,TP53,gallic acid	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	pyruvic acid	chemical - endogenous mammalian	 	 	 	 	 	7.27E-04	FOS,NR4A1,SLC2A3,VEGFA	CEBPB,CREB1,CTNNB1,Ca2+,Creb,FOSL1,FOXO1,HIF1A,Insulin,JUN,NFKB1,NFKBIA,NFkB (complex),P38 MAPK,PPARA,PPARG,RELA,palmitic acid,pyruvic acid	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	SRC	kinase	 	 	 	 	 	7.48E-04	CTSV,CXCL8,DUSP1,F3,FOS,GJA1,IL6,MMP1,MMP9,VCAM1,VEGFA	Ap1,EGR1,ERK1/2,ESR1,FOSL1,HIF1A,JUN,Jnk,NFKB1,NFkB (complex),RAC1,RELA,SRC,VEGFA	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	TSC2	other	 	 	 	 	 	7.48E-04	CASP1,EGR1,FOS,GALC,GSN,MAOB,PDK4,PKIB,SCD,SCPEP1,SNAP91	CREB1,EGR1,ELK1,FOS,FOXO1,INSR,IRF3,NFATC1,PDX1,PPARG,SIRT1,STAT5B,TSC2	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	BGN	other	 	 	 	 	 	7.50E-04	AXIN2,BMP2,CXCL8,IL1B,RUNX2	BGN,ERK,FOSL1,IL1B,JUN,NFKB1,NFKBIA,NFkB (complex),NR3C1,P38 MAPK,RELA,SMAD3,SP1,STAT3,TNF	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	HSPD1	enzyme	 	 	 	 	 	7.50E-04	CXCL2,IL15,IL1B,IL6,VCAM1	ATP,Ap1,CCL2,CTNNB1,HIF1A,HSPD1,IRAK1,IRF3,IRF6,JUN,NFATC1,NFKB1,NFKBIA,NFkB (complex),PPARG,RELA,SMAD3,STAT3,TLR4	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	MAP3K3	kinase	 	 	 	 	 	7.50E-04	BMP2,CXCL8,FOS,IL6,SNAI2	ATF2,Ap1,ERK1/2,FOSL1,IKBKG,JUN,MAP3K3,MAPK10,MAPK8,NFATC3,NFKB1,NFKBIA,NFkB (complex),RELA,SP1,TP53	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	TRPV4	ion channel	 	 	 	 	 	7.50E-04	CXCL2,FAS,FOS,IL6,VCAM1	ATP,Ap1,CCL5,CREB1,Ccl2,ERK,FOSL1,FOXO1,IL6,JUN,NFKB1,NFKBIA,NFkB (complex),RELA,SMAD3,STAT1,STAT3,TRPV4	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	VAV2	transcription regulator	 	 	 	 	 	7.50E-04	AREG,BTC,EGF,FOS,IL6	ATF2,Ap1,EGFR,ELK1,ERK,ERK1/2,ESR1,FOSL1,FOXO1,JUN,NFATC3,NFKB1,NFkB (complex),PPARG,RELA,RHOA,Rac,SMAD3,STAT3,TP53,VAV2	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	ADM	other	 	 	 	 	 	7.58E-04	CALCR,CXCL2,FOS,IL1B,IL6,PPARG,VCAM1	ACTN4,ADM,Ap1,CTNNB1,FN1,FOS,FOSL1,FOXO1,IL6,JUN,Mapk,NFKB1,NFKBIA,NFkB (complex),P38 MAPK,RELA,SP1,STAT3	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	ARNT2	transcription regulator	 	 	 	 	 	7.61E-04	ADAM28,APOE,CCR1,EGF,EGR1,EYA1,IFI16,ITGB3,LCP1,LIFR,PKIB,PTPN22,SLC2A3,THRB,VEGFA,ZFP36L1	 	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	MAP2K1/2	group	 	 	 	 	 	7.70E-04	DUSP1,EGR1,FOS,GCLC,GJA1,IL1B,mir-221,MMP9,VEGFA	Ap1,EGR1,ERK,ERK1/2,FOSL1,JUN,Jnk,MAP2K1/2,NFKB1,NFKBIA,NFkB (complex),P38 MAPK,RELA,SMAD3,SP1,STAT3	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	sirolimus	chemical drug	 	 	 	 	 	7.77E-04	ATP2B4,B2M,BEX2,BMP2,CEBPB,EGR1,F3,FAS,FOS,GALC,GCLC,IDH1,IL1B,IL6,KCNMB4,KDR,LEPR,LPIN1,mir-221,MMP1,MMP3,MMP9,PPARG,RORC,RUNX2,SCD,SCPEP1,SLC2A3,VCAM1,VEGFA	Ap1,ERK1/2,FOS,FOSL1,JUN,Mapk,NFKB1,NFKBIA,NFkB (complex),NR3C1,P38 MAPK,RELA,SP1,sirolimus	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	CSF1R	kinase	 	 	 	 	 	7.83E-04	FOS,IL1A,IL6,MMP9,VCAM1,VEGFA	ATF2,Akt,Ap1,CREBBP,CSF1,CSF1R,ERK1/2,FOS,FOSL1,FOXO1,FOXO3,IRF8,JUN,NFATC1,NFKB1,NFkB (complex),NOTCH1,PI3K (complex),RELA,STAT1,TP53	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	SAA	group	 	 	 	 	 	7.83E-04	CXCL8,F3,IL1B,IL6,MMP1,VCAM1	ACTN4,Ap1,EGR1,ERK1/2,FOSL1,IL10,JUN,Jnk,NFKB1,NFKBIA,NFkB (complex),RELA,SAA,SREBF1,SREBF2,STAT3,cholesterol	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	asoprisnil	chemical drug	 	 	 	 	 	7.83E-04	DPP4,EGF,G0S2,HSD17B2,IL15,XDH	 	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	cilostazol	chemical drug	 	 	 	 	 	7.83E-04	KDR,MMP1,MMP9,NR4A2,VCAM1,VEGFA	Ap1,CREBBP,FOXO1,FOXO3,HIF1A,JUN,NFKB1,NFKBIA,NFkB (complex),NR3C1,PI3K (complex),PTEN,RELA,STAT3,VEGFA,cilostazol,cyclic AMP	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	mevalonic acid	chemical - endogenous mammalian	 	 	 	 	 	7.83E-04	IL1B,MMP1,PCSK9,RORC,VCAM1,VEGFA	ACTN4,Ap1,ERK,ERK1/2,FOSL1,FOXO1,JUN,NFKB1,NFKBIA,NFkB (complex),PPARG,RAC1,RELA,RHOA,SMAD3,STAT3,TP53,mevalonic acid	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	HNF1A	transcription regulator	 	 	 	 	 	7.86E-04	AKR1C1/AKR1C2,ANXA4,ATP7A,C1S,CCL28,CPQ,CYB5A,DPP4,DUSP6,FAS,FBXO8,G0S2,GBE1,HSD11B1,HSD17B2,LIPA,MIA2,MID1IP1,PCSK9,RAB33B,RBP5,RUNX2,SLC38A4,SLC40A1,SULT1C2,TBC1D8B,VLDLR	 	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	IRF7	transcription regulator	 	 	 	 	 	8.06E-04	APOBEC3G,CARD16,CCNA1,FAM26F,GBP4,GBP5,IFI16,IFIH1,IL15,MX2,PELI1,PMAIP1,TNFSF13B,TRIM22	HDAC3,HIF1A,IFNA2,IFNB1,IRF1,IRF3,IRF7,Interferon alpha,JUN,NFKBIA,NFkB (complex),SMAD3,SNAI1,STAT1,STAT3	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	Map3k7	kinase	 	 	 	 	 	8.07E-04	BHLHE40,IL15,IL1B,IL6,MMP9,SCD,TSC22D1,VCAM1	Akt,Ap1,CREB1,ESR1,FOXO1,HIF1A,IKK (complex),JUN,Map3k7,NFKB1,NFKBIA,NFKBIB,NFkB (complex),NOTCH1,PPARG,RELA,RHOA,TP53	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	infliximab	biologic drug	 	 	 	 	 	8.07E-04	BMP2,CCL20,CXCL8,G0S2,IL15,IL1B,RORC,VEGFA	ADIPOQ,Akt,CREB1,Ca2+,Creb,EGR1,FOS,FOSL1,FOXO1,IRF3,NFATC1,NFKB1,NFKBIA,NFkB (complex),NOTCH1,NR3C1,PPARG,RELA,SIRT1,TNF,infliximab	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	TFAP2A	transcription regulator	 	 	 	 	 	8.14E-04	APOE,CXCL2,EREG,GEM,LIPA,PAG1,PPARG,RAB27B,SESN3,VEGFA	Ap1,CTNNB1,EGR1,ESR1,HDAC3,JUN,NFKB1,NFkB (complex),SMAD3,SP1,TCF,TFAP2A,TP53	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	troglitazone	chemical drug	 	 	 	 	 	8.37E-04	AXIN2,C9orf72,CPT1B,CXCL8,EGR1,FOS,G0S2,GADD45A,GDF15,IFI16,IL1B,IL6,LAMA3,MAOB,MMP3,MMP9,NNMT,NR4A1,PDK4,PPARG,RASD1,SCD,VCAM1,VEGFA	ATF2,Ap1,CEBPB,CREB1,Creb,EGR1,FOXO1,JUN,Jnk,NFKB1,NFKBIA,NFkB (complex),NR3C1,PPARA,Pkc(s),RELA,SP1,TNF,palmitic acid,troglitazone	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	NR4A2	ligand-dependent nuclear receptor	 	 	 	 	 	8.44E-04	AREG,CCL20,CPT1B,CXCL8,MMP1,MMP3,MMP9,NR4A2,SESN3	Ap1,CCL2,JUN,MMP1,NFATC1,NFKB1,NFKBIA,NFkB (complex),NR1H3,NR3C1,NR4A2,PPARA,PPARD,PPARG,RELA,SMAD3,STAT3,TNF,fatty acid	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	SMARCB1	transcription regulator	 	 	 	 	 	8.54E-04	ADD3,CYP39A1,FAS,FOS,GADD45A,GJA1,GSN,IFI16,IL1A,KLHL4,MMP1,NKX3-2,PELI1,PPARG	Ap1,CD44,FOXO1,JUN,NFkB (complex),RELA,SMARCA4,SMARCB1,SP1,SP3,STAT3,TP53,TP63,TP73	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	PELP1	other	 	 	 	 	 	8.59E-04	BMP2,CCNA1,EGF,FOS,GREB1,MMP9,MRAS	Akt,Ap1,ESR1,ESR2,FOS,FOXO1,JUN,NFKB1,NFkB (complex),NOTCH1,PELP1,RARA,RELA,SMAD3,SP1,TP53,estrogen receptor	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	FGFR2	kinase	 	 	 	 	 	8.76E-04	CPE,CUBN,FAM198B,FAS,FST,GJA1,IL1A,IL1B,IL6,MRAS,RUNX2,VCAM1	Akt,Ap1,ERK1/2,FGFR2,FOS,FOSL1,FOXO1,JUN,Mapk,NFKB1,NFKBIA,NFkB (complex),NOTCH1,NR3C1,RELA,SP1,TNF	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	PML	transcription regulator	 	 	 	 	 	8.76E-04	ANXA4,APOE,CCNA1,CPE,CPT1B,DNAJB9,FAS,GADD45A,IL1B,PDK4,SCD,SNAI2	FOS,IRF3,IRF7,Inflammasome (Nalp3, Asc, Casp1),JUN,NFkB (complex),NR4A1,PML,PPARGC1A,REL,Rxr,SMAD3,SREBF1,STAT1,STAT3,TP53,TP63,TP73,WT1	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	CD3	complex	 	 	 	 	 	8.76E-04	C1R,CCL20,CCR1,CXCL8,DPP4,FAS,FOS,HMCN1,IL1A,IL1B,IL1R1,IL1RAP,IL6,ITPR1,LCP1,LRP1,LTBP1,NLRP1,NR3C2,NR4A1,PDE4B,PLA2R1,PPARG,PSG1,PTPN22,RNF128,RORA,RORC,SMPDL3B,SORL1,STEAP2,TOM1L1,VEGFA,VIPR1,ZFP36L1	ACTN4,Ap1,BCL6,CD3,CEBPB,FAS,IL10,IL17A,IL2,NFKB1,NFKBIA,NFkB (complex),NR3C1,RELA,STAT3	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	CEBPD	transcription regulator	 	 	 	 	 	8.83E-04	ALOX5AP,CCL20,CEBPB,CXCL8,FOS,IL1B,IL6,MMP3,PPARG,VLDLR	Ap1,CEBPD,CTNNB1,FOXO1,HIF1A,IL6,JUN,NFKB1,NFKBIA,NFkB (complex),NR1H3,PPARA,PPARG,PTGS2,RELA,STAT3,TP53	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	SOD2	enzyme	 	 	 	 	 	8.83E-04	ANGPT1,GSN,IL1B,IL6,MAP2,MMP1,MMP3,MMP9,RDH12,SPEG	Akt,Ap1,EGR1,ESR1,FOXO1,JUN,Jnk,NFKB1,NFKBIA,NFkB (complex),NOTCH1,P38 MAPK,RELA,SOD2,TP53,reactive oxygen species	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	aspirin	chemical drug	 	 	 	 	 	8.83E-04	CXCL8,CYB5A,GDF15,IL1A,IL1B,IL6,MMP1,MMP9,PMAIP1,VCAM1	Ap1,CEBPB,ESR1,FOXO1,IL12B,IL18,IRF1,JUN,NFKB1,NFKBIA,NFkB (complex),PPARG,REL,RELA,RHOA,SP1,STAT1,TP53,aspirin	
