© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Miyoung->11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM
Workspace	My Projects
Project	Miyoung
Analysis	11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM
Date	Wed Nov 22 07:59:42 PST 2017
Analysis ID	15714034

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Miyoung->11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	Lh	complex	 	 	 	 	 	3.97E-02	ACTR2,ADAMTS1,ADCY7,AKAP12,ATP2A2,CAP2,CHUK,FKBP5,KIDINS220,PPP3R1,PRKAR2A,PTPN21	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	AJUBA	transcription regulator	 	 	 	 	 	4.02E-02	DOCK1,WEE1	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	abscisic acid	chemical - endogenous non-mammalian	 	 	 	 	 	4.02E-02	CCL2,TLR4	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	androstenediol	chemical - endogenous mammalian	 	 	 	 	 	4.02E-02	BCL2,FKBP5	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	mir-148	microrna	 	 	 	 	 	4.02E-02	BCL2,DNMT3B	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	RBPJ	transcription regulator	 	 	 	 	 	4.05E-02	CDCA7,ECT2,EPHA4,FGF5,GLS,INHBA,PRKAR2A,SOS1	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	BRD4	kinase	 	 	 	 	 	4.10E-02	BCL2,COL4A1,FBN1,KCNQ5,POLR3G,RAI14,TOP1	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	cholecalciferol	chemical - endogenous mammalian	 	 	 	 	 	4.10E-02	BCL2,CCL2,CYP24A1,NFYA,PTPRB,RB1,SERPINB8	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	HNRNPA2B1	other	 	 	 	 	 	4.19E-02	HIPK2,MEIS2,MFHAS1,MOCOS,PAPPA,RASSF8,ROR1,UTRN	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	S100A6	transporter	 	 	 	 	 	4.25E-02	ADAMTS1,INHBA,PBK	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	HDAC4	transcription regulator	 	 	 	 	 	4.26E-02	CACNA2D1,CAP2,GPHN,HOMER1,MAPK1,PPM1E,PRKCA	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	LEPR	transmembrane receptor	 	 	 	 	 	4.29E-02	ATP2A2,BCL2,CDK8,COL4A1,EIF3A,EMSY,NBN,NUP160,RPL7L1	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	BMP6	growth factor	 	 	 	 	 	4.38E-02	ADAMTS1,CAVIN2,E2F3,GNB4,INHBA,PMEPA1	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	PAX7	transcription regulator	 	 	 	 	 	4.51E-02	GALNT13,GCH1,MDFIC,SEMA3E,SYNE2	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	FOXO3	transcription regulator	 	 	 	 	 	4.59E-02	APAF1,BUB1B,CCNE2,COL4A1,FBXO5,GTF2I,INHBA,JAK1,KIF15,LEMD3,PBK,PTPRB,SKP2,TFDP1	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	CASP3	peptidase	 	 	 	 	 	4.64E-02	BCL2,CAMK4,RB1	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	UPF2	other	 	 	 	 	 	4.64E-02	KHDRBS3,PTPN21,TSPAN12	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	bardoxolone methyl	chemical drug	 	 	 	 	 	4.64E-02	BCL2,GCLM,SP3	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	EPHA2	kinase	 	 	 	 	 	4.66E-02	BCL2,MAPK1	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	NDUFA13	enzyme	 	 	 	 	 	4.66E-02	BCL2,TFDP1	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	TLE1	transcription regulator	 	 	 	 	 	4.66E-02	MEIS2,ROCK2	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	ladostigil	chemical drug	 	 	 	 	 	4.66E-02	BCL2,RB1	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	miR-210-3p (miRNAs w/seed UGUGCGU)	mature microrna	 	 	 	 	 	4.66E-02	CASP8AP2,E2F3	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	prazosin	chemical drug	 	 	 	 	 	4.66E-02	CCL2,DIO2	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	selumetinib	chemical drug	 	 	 	 	 	4.66E-02	CDK5R1,DDX21	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	SOX1	transcription regulator	 	 	 	 	 	4.73E-02	BMPER,COBLL1,FGF5,INHBA,TEAD1	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	HNF4A	transcription regulator	 	 	 	 	 	4.77E-02	ABCB10,ADAT1,ADCY7,AHNAK,BARD1,BMI1,BRIP1,CCNE2,CCP110,CDK8,CEP83,CEP85,CRY1,CTDSPL2,DCLRE1B,DHX35,GFM1,GOLIM4,GRHL1,GSTCD,GTF2H3,GTF2I,HMGB2,INHBA,ISOC1,KCNQ5,KIF15,LATS1,LRRC8C,LUC7L2,MIS12,MIS18BP1,MOCOS,MPZL2,MSX2,MTHFS,NEK4,NEK7,NFYA,NOC3L,NPAT,OSBPL11,OTUD6B,PANK1,PARD3B,PDE11A,PKP2,POLR3G,PRPF38B,PTPN11,QTRT2,RECQL,RHPN2,RIOX2,RMI1,RSU1,SAMHD1,SEMA7A,SERPINB8,SKP2,SPATA5L1,TCF12,TMOD2,TPP2,UBP1,USP36,ZBED3,ZBTB37	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	rifampin	chemical drug	 	 	 	 	 	4.79E-02	ABCB10,ABHD2,CCNJ,CEP135,CYP24A1,ECT2,KIF14,STIL	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	GATA1	transcription regulator	 	 	 	 	 	4.85E-02	ABCB10,BCL2,CYBB,DICER1,E2F3,HBE1,HHEX,HIPK2,MSX2,PLXNA2,SLMAP	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	HRAS	enzyme	 	 	 	 	 	4.88E-02	AKAP2,AMOTL2,ATP2A2,BCL2,COL4A1,COL5A2,CYP24A1,DNMT3B,EIF4G3,FERMT2,ITGAV,MAPK1,PDPK1,PMEPA1,PRKCA,PTGFRN,RSU1,SMARCA2,SORBS1,SP3,SPIN1,TENM3,TMOD2	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	Ifn gamma	complex	 	 	 	 	 	4.96E-02	BMI1,CCL2,CYBB,JAK2,MAPK1,TLR4	 	
11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM	 	BRCA1	transcription regulator	 	 	 	 	 	4.99E-02	BCL2,BRCA2,E2F3,EP300,FKBP5,JAK1,RB1,SFPQ,WEE1	 	

Causal Networks for My Projects->Miyoung->11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM

Diseases and Bio Functions for My Projects->Miyoung->11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM
Categories	Functions	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Notes	Bias-corrected z-score	Molecules	# Molecules	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	large intestine carcinoma	Large intestine carcinoma	5.07E-26	 	 	 	 	VRK2,DNA2,MYO5C,MEX3D,CEP350,CEBPZ,TCF20,BORA,FAM196B,AFG3L2,DENND5B,ANKRD33B,VPS36,FAM120A,CORO2B,FAM124A,C1orf106,FICD,FBN1,LEMD3,ENOX2,MCM9,COL5A2,MPHOSPH9,DOCK10,BIRC6,RAVER2,NHLRC2,RECQL,DLAT,DOCK4,PPP2R3A,SYNE2,DIO2,AGK,HECW2,FKBP5,CLIP1,SPAG1,RMI1,FIGNL1,ZNF215,LRRC8C,CAAP1,DGKI,OTUD4,PTPN3,KLHL29,PDE8A,GFM1,CELF2,ADAMTS12,DPY19L1,LUC7L2,OSBPL11,CEP135,IKZF4,IPO11,MYEF2,TLR4,SKP2,PTPN21,CDCA7,SASS6,POLQ,BCOR,COL4A1,AHCTF1,WNK1,JAK1,KIAA2026,CDK8,BRIP1,NAA40,CACNA2D1,ANKRD50,PRMT6,RBM24,SESTD1,MASTL,APAF1,PAXIP1,PAPPA,CCNJ,TBC1D4,ATAD2B,PPP4R2,HEATR3,TAF4,E2F8,PMEPA1,TRRAP,QSER1,NOC3L,RBM12B,ETNK1,VWA8,RIMS2,CAP2,DCAF12,IGSF3,ITSN2,UBR3,LRRCC1,FNDC3A,PYGO1,PTPRB,TEX2,E2F3,PCF11,MARS2,EPDR1,AOX1,BRD1,FYTTD1,MYO1B,KDM3B,ADAMTS1,KLHL23/PHOSPHO2-KLHL23,BRCA2,GNB4,FAT3,PHF2,TRPC3,ARHGEF26,CEP152,PIAS1,ZNF827,ROR1,FRMPD3,DOCK1,ZNF782,USP36,PDE11A,PDE7A,DGKH,PPARGC1B,STIL,SEMA7A,QKI,ZDHHC21,MOCOS,RCOR1,LRP4,SPATA13,BRD3,KHSRP,EPHA4,G2E3,PDZD2,KMT2C,PARD3B,KAT6B,TFCP2L1,ASCC3,NEU3,SCAF11,ITGAV,KCNH1,ESCO2,ROCK2,NBN,PGM2,XRCC2,NHS,XK,EXOC5,BACH2,DIP2B,CCNE2,UBP1,CASP8AP2,AKAP2,MED1,PPP2R2C,RIF1,DDHD1,SEMA3D,DCLRE1A,CYP26B1,SH3D19,CCP110,MEIS2,SCML2,ABHD2,MFAP3L,CHD7,BUB1B,ATAD2,KMT2A,KIAA1524,HOMER1,CDK19,COL12A1,TCERG1,SACS,NEGR1,ZMYND11,RC3H2,ANK2,NIPBL,ST6GALNAC5,DEPDC1B,NPAT,SCYL2,NLRP3,STXBP4,ARID2,KIDINS220,GCLM,DNMT3B,ZNF100,RASSF8,NRXN3,PANK1,VPS13B,BRMS1L,INHBA,NEDD1,MFHAS1,ARID1B,GTSE1,CDYL2,BOC,HBE1,ANKRD44,FAM135A,APPL1,PLK4,SETD2,ICK,WDR3,ARL6IP6,ARHGAP31,PANK3,PBRM1,SMARCA2,PHF20L1,ATXN1L,KHDRBS3,SIPA1L2,MAN2A1,CCDC15,GRIP1,LHFP,JPH1,TSEN15,SLMAP,ITSN1,BRPF3,ASXL2,TTF2,EP300,SMC5,RAPGEF6,FAM49A,MYO5A,MGA,BCL2,MAML1,C3orf52,BMI1,BDP1,ZGRF1,HIPK2,SMG1,PTGFRN,B4GALT6,MARVELD2,DNAJC13,HLA-DQA1,MIS18BP1,CRYBG3,NUP153,TRAPPC10,RHPN2,GRHL1,REV3L,STXBP5,LDLRAD3,TCF12,ZNF92,CRIM1,PPP3R1,MAN1A2,CYBB,TTPA,SEMA3E,SPIN1,DDX21,YY2,LNPEP,UBR5,ANLN,KIF14,PLXNA2,LMNB1,TMX3,BAHD1,ZBED4,TAF13,ZNF618,CEP78,FUBP3,CLASP2,KIF21A,CAMSAP2,ZNF551,ZNF462,TPP2,STAG1,PRPF38B,PPFIA1,FBXL14,PDPR,NCAPD3,ZCCHC2,RAD54L2,CENPK,DBR1,LIN9,RAI14,PANX1,SMC6,MKL2,AMOTL2,UTRN,NEK7,FLG,DCLRE1B,KLF12,HIPK1,MB21D1,AIDA,SLC12A2,AKAP12,FAR1,PTPN11,AKAP11,SYNJ1,COBL,LRCH1,GLIS3,NDST3,MYCBP2,FBXO30,CAMK4,SOS1,CRY1,UNKL,ZHX1,PTPRK,PRKCA,NCEH1,MTRR,SP3,GREB1L,TFDP1,KIF15,AADAT,CHAC2,AHNAK,LATS1,STX11,USF3,FAM91A1,UTP20,KCNQ5,CHD1,ATP8B1,RAD51AP1,DICER1,N4BP2,EXOC6B,SERPINB8,ZNF326,MAGI3,STRN,GPR75,CHORDC1,HHEX,REL,ZNF385B,MED13L,MIER3,JAK2,B4GALNT1,ATP2A2,NUP160,ASPM,FRYL,TMOD2,STRBP,TEAD1,ARID1A,FAM208B,MYO9A,TOP1,FGF5,EPC2,TAF1B,ZFYVE16,TAF3,CBL,NEK4,PPM1E,ATP13A3,WDHD1,TRIO,ETV3,BMPER,NSUN6,COBLL1,C17orf51,PDPK1,EIF4G3,MAPK1,SVIL,ICE1,RB1,GLS,TAF5L,CYP24A1	423	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	intestinal carcinoma	Intestinal carcinoma	5.21E-26	 	 	 	 	VRK2,DNA2,MYO5C,MEX3D,CEP350,CEBPZ,TCF20,BORA,FAM196B,AFG3L2,DENND5B,ANKRD33B,VPS36,FAM120A,CORO2B,FAM124A,C1orf106,FICD,FBN1,LEMD3,ENOX2,MCM9,COL5A2,MPHOSPH9,DOCK10,BIRC6,RAVER2,NHLRC2,RECQL,DLAT,DOCK4,PPP2R3A,SYNE2,DIO2,AGK,HECW2,FKBP5,CLIP1,SPAG1,RMI1,FIGNL1,ZNF215,LRRC8C,CAAP1,DGKI,OTUD4,PTPN3,KLHL29,PDE8A,GFM1,CELF2,ADAMTS12,DPY19L1,LUC7L2,OSBPL11,CEP135,IKZF4,IPO11,MYEF2,TLR4,SKP2,PTPN21,CDCA7,SASS6,POLQ,BCOR,COL4A1,AHCTF1,WNK1,JAK1,KIAA2026,CDK8,BRIP1,NAA40,CACNA2D1,ANKRD50,PRMT6,RBM24,SESTD1,MASTL,APAF1,PAXIP1,PAPPA,CCNJ,TBC1D4,ATAD2B,PPP4R2,HEATR3,TAF4,E2F8,PMEPA1,TRRAP,QSER1,NOC3L,RBM12B,ETNK1,VWA8,RIMS2,CAP2,DCAF12,IGSF3,UBR3,ITSN2,LRRCC1,FNDC3A,PYGO1,PTPRB,TEX2,E2F3,PCF11,MARS2,EPDR1,AOX1,BRD1,FYTTD1,MYO1B,KDM3B,ADAMTS1,KLHL23/PHOSPHO2-KLHL23,BRCA2,GNB4,FAT3,PHF2,TRPC3,ARHGEF26,CEP152,PIAS1,ZNF827,ROR1,FRMPD3,DOCK1,ZNF782,USP36,PDE11A,PDE7A,DGKH,PPARGC1B,STIL,SEMA7A,QKI,ZDHHC21,MOCOS,RCOR1,LRP4,SPATA13,BRD3,KHSRP,EPHA4,G2E3,PDZD2,KMT2C,PARD3B,KAT6B,TFCP2L1,ASCC3,NEU3,SCAF11,ITGAV,KCNH1,ESCO2,ROCK2,NBN,PGM2,XRCC2,NHS,XK,EXOC5,BACH2,DIP2B,CCNE2,UBP1,CASP8AP2,AKAP2,MED1,PPP2R2C,RIF1,DDHD1,SEMA3D,DCLRE1A,CYP26B1,SH3D19,CCP110,MEIS2,SCML2,ABHD2,MFAP3L,CHD7,BUB1B,ATAD2,KMT2A,KIAA1524,HOMER1,CDK19,COL12A1,TCERG1,SACS,NEGR1,ZMYND11,RC3H2,ANK2,NIPBL,ST6GALNAC5,DEPDC1B,NPAT,SCYL2,NLRP3,STXBP4,ARID2,KIDINS220,GCLM,DNMT3B,ZNF100,RASSF8,NRXN3,PANK1,VPS13B,BRMS1L,INHBA,NEDD1,MFHAS1,ARID1B,GTSE1,CDYL2,BOC,HBE1,ANKRD44,FAM135A,APPL1,PLK4,SETD2,ICK,WDR3,ARL6IP6,ARHGAP31,PANK3,PBRM1,SMARCA2,PHF20L1,ATXN1L,KHDRBS3,SIPA1L2,MAN2A1,CCDC15,GRIP1,LHFP,JPH1,TSEN15,SLMAP,ITSN1,BRPF3,ASXL2,TTF2,EP300,SMC5,RAPGEF6,FAM49A,MYO5A,HMGB2,MGA,BCL2,MAML1,C3orf52,BMI1,BDP1,ZGRF1,HIPK2,SMG1,PTGFRN,B4GALT6,MARVELD2,DNAJC13,HLA-DQA1,MIS18BP1,CRYBG3,NUP153,TRAPPC10,RHPN2,GRHL1,REV3L,STXBP5,LDLRAD3,TCF12,ZNF92,CRIM1,PPP3R1,MAN1A2,CYBB,TTPA,SEMA3E,SPIN1,DDX21,YY2,LNPEP,UBR5,ANLN,KIF14,PLXNA2,LMNB1,TMX3,BAHD1,ZBED4,TAF13,ZNF618,CEP78,FUBP3,CLASP2,KIF21A,CAMSAP2,ZNF551,ZNF462,TPP2,STAG1,PRPF38B,PPFIA1,FBXL14,PDPR,NCAPD3,ZCCHC2,RAD54L2,CENPK,DBR1,LIN9,RAI14,PANX1,SMC6,MKL2,AMOTL2,UTRN,NEK7,FLG,DCLRE1B,KLF12,HIPK1,MB21D1,AIDA,SLC12A2,AKAP12,FAR1,PTPN11,AKAP11,SYNJ1,COBL,LRCH1,GLIS3,NDST3,MYCBP2,FBXO30,CAMK4,SOS1,CRY1,UNKL,ZHX1,PTPRK,PRKCA,NCEH1,MTRR,SP3,GREB1L,TFDP1,KIF15,AADAT,CHAC2,AHNAK,LATS1,STX11,USF3,FAM91A1,UTP20,KCNQ5,CHD1,ATP8B1,RAD51AP1,DICER1,N4BP2,EXOC6B,SERPINB8,ZNF326,MAGI3,STRN,GPR75,CHORDC1,HHEX,REL,ZNF385B,MED13L,MIER3,JAK2,B4GALNT1,ATP2A2,NUP160,ASPM,FRYL,TMOD2,STRBP,TEAD1,ARID1A,FAM208B,MYO9A,TOP1,FGF5,EPC2,TAF1B,ZFYVE16,TAF3,CBL,NEK4,PPM1E,ATP13A3,WDHD1,TRIO,ETV3,BMPER,NSUN6,COBLL1,C17orf51,PDPK1,EIF4G3,MAPK1,SVIL,ICE1,RB1,GLS,TAF5L,CYP24A1	424	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	gastrointestinal carcinoma	Gastrointestinal carcinoma	9.45E-26	 	 	 	 	VRK2,DNA2,MYO5C,MEX3D,CEP350,CEBPZ,TCF20,BORA,FAM196B,AFG3L2,DENND5B,ANKRD33B,VPS36,FAM120A,CORO2B,FAM124A,C1orf106,SPOCK1,FICD,FBN1,LEMD3,ENOX2,MCM9,COL5A2,MPHOSPH9,DOCK10,RAP1GAP2,BIRC6,RAVER2,NHLRC2,RECQL,DLAT,RSU1,DOCK4,PPP2R3A,SYNE2,DIO2,AGK,HECW2,FKBP5,CLIP1,SPAG1,RMI1,FIGNL1,ZNF215,LRRC8C,CAAP1,DGKI,OTUD4,PTPN3,KLHL29,PDE8A,GFM1,CELF2,DPY19L1,ADAMTS12,LUC7L2,OSBPL11,CEP135,IKZF4,IPO11,BARD1,MYEF2,TLR4,SKP2,PTPN21,CDCA7,SASS6,POLQ,BCOR,COL4A1,AHCTF1,WNK1,JAK1,KIAA2026,CDK8,BRIP1,NAA40,CACNA2D1,ANKRD50,PRMT6,RBM24,SESTD1,MASTL,APAF1,PAXIP1,PAPPA,CCNJ,TBC1D4,ATAD2B,PPP4R2,HEATR3,TAF4,E2F8,PMEPA1,TRRAP,QSER1,NOC3L,RBM12B,ETNK1,VWA8,RIMS2,CAP2,DCAF12,IGSF3,ITSN2,UBR3,LRRCC1,FNDC3A,PYGO1,PTPRB,TEX2,E2F3,PCF11,MARS2,EPDR1,AOX1,BRD1,FYTTD1,MYO1B,KDM3B,ADAMTS1,KLHL23/PHOSPHO2-KLHL23,BRCA2,GNB4,FAT3,PHF2,TRPC3,ARHGEF26,CEP152,PIAS1,ZNF827,ROR1,FRMPD3,DOCK1,ZNF782,USP36,PDE11A,PDE7A,DGKH,PPARGC1B,STIL,SEMA7A,QKI,ZDHHC21,MOCOS,RCOR1,LRP4,SPATA13,BRD3,KHSRP,EPHA4,G2E3,PDZD2,KMT2C,PARD3B,KAT6B,TFCP2L1,ASCC3,SETD7,NEU3,SCAF11,ITGAV,KCNH1,ESCO2,ROCK2,NBN,PGM2,XRCC2,NHS,XK,EXOC5,BACH2,DIP2B,CCNE2,UBP1,CASP8AP2,AKAP2,MED1,PPP2R2C,RIF1,DDHD1,SEMA3D,DCLRE1A,CYP26B1,SH3D19,CCP110,MEIS2,SCML2,ABHD2,MFAP3L,CHD7,BUB1B,ATAD2,KMT2A,KIAA1524,HOMER1,CDK19,COL12A1,TCERG1,SACS,NEGR1,ZMYND11,RC3H2,ANK2,NIPBL,ST6GALNAC5,DEPDC1B,NPAT,SCYL2,ZNF367,NLRP3,STXBP4,ARID2,KIDINS220,GCLM,DNMT3B,ZNF100,RASSF8,NRXN3,PANK1,VPS13B,BRMS1L,INHBA,NEDD1,MFHAS1,ARID1B,GTSE1,AKAP1,CDYL2,BOC,HBE1,ANKRD44,FAM135A,KAT6A,APPL1,PLK4,SETD2,ICK,WDR3,ARL6IP6,ARHGAP31,PANK3,PBRM1,SMARCA2,PHF20L1,ATXN1L,KHDRBS3,SIPA1L2,MAN2A1,CCDC15,GRIP1,LHFP,JPH1,TSEN15,SLMAP,ITSN1,BRPF3,ASXL2,TAF2,TTF2,EP300,SMC5,RAPGEF6,FAM49A,MYO5A,HMGB2,MGA,BCL2,MAML1,C3orf52,BMI1,BDP1,ZGRF1,HIPK2,SMG1,PTGFRN,B4GALT6,MARVELD2,DNAJC13,HLA-DQA1,MIS18BP1,CRYBG3,NUP153,TRAPPC10,RHPN2,GRHL1,REV3L,STXBP5,LDLRAD3,TCF12,ZNF92,CRIM1,PPP3R1,MAN1A2,CYBB,TTPA,SEMA3E,SPIN1,DDX21,YY2,LNPEP,UBR5,ANLN,KIF14,PLXNA2,LMNB1,TMX3,BAHD1,EML1,ZBED4,TAF13,ZNF618,CEP78,FUBP3,CLASP2,KIF21A,CAMSAP2,ZNF551,PKP2,ZNF462,TPP2,STAG1,PRPF38B,PPFIA1,FBXL14,PDPR,NCAPD3,ZCCHC2,SUSD5,RAD54L2,CENPK,AMMECR1L,DBR1,LIN9,RAI14,PANX1,SMC6,MKL2,AMOTL2,UTRN,NEK7,FLG,DCLRE1B,HIPK1,KLF12,MB21D1,AIDA,SLC12A2,AKAP12,FAR1,PTPN11,AKAP11,SYNJ1,COBL,LRCH1,GLIS3,NDST3,MYCBP2,FBXO30,CAMK4,SOS1,CRY1,UNKL,ZHX1,PTPRK,PRKCA,NCEH1,MTRR,SP3,GREB1L,TFDP1,KIF15,AADAT,CHAC2,AHNAK,LATS1,STX11,USF3,FAM91A1,UTP20,KCNQ5,CHD1,ATP8B1,RAD51AP1,DICER1,N4BP2,EXOC6B,SERPINB8,ZNF326,MAGI3,STRN,GPR75,CHORDC1,HHEX,REL,ZNF385B,MED13L,MIER3,JAK2,B4GALNT1,ATP2A2,NUP160,ASPM,FRYL,TMOD2,STRBP,TEAD1,ARID1A,FAM208B,MYO9A,TOP1,FGF5,EPC2,TAF1B,ZFYVE16,TAF3,CBL,NEK4,PPM1E,ATP13A3,WDHD1,TRIO,ETV3,BMPER,NSUN6,COBLL1,C17orf51,PDPK1,EIF4G3,MAPK1,SVIL,ICE1,RB1,GLS,TAF5L,CYP24A1	437	
